name,capital,region,countrycode,capital,region,subregion,population,languages,flag
Comoros,COM,Moroni,Africa,Eastern Africa,806153,Arabic,https://restcountries.eu/data/com.svg
Congo,COG,Brazzaville,Africa,Middle Africa,4741000,French,https://restcountries.eu/data/cog.svg
Congo (Democratic Republic of the),COD,Kinshasa,Africa,Middle Africa,85026000,French,https://restcountries.eu/data/cod.svg
Cook Islands,COK,Avarua,Oceania,Polynesia,18100,English,https://restcountries.eu/data/cok.svg
Costa Rica,CRI,San José,Americas,Central America,4890379,Spanish,https://restcountries.eu/data/cri.svg
Croatia,HRV,Zagreb,Europe,Southern Europe,4190669,Croatian,https://restcountries.eu/data/hrv.svg
Cuba,CUB,Havana,Americas,Caribbean,11239004,Spanish,https://restcountries.eu/data/cub.svg
Curaçao,CUW,Willemstad,Americas,Caribbean,154843,Dutch,https://restcountries.eu/data/cuw.svg
Cyprus,CYP,Nicosia,Europe,Southern Europe,847000,Greek (modern),https://restcountries.eu/data/cyp.svg
Czech Republic,CZE,Prague,Europe,Eastern Europe,10558524,Czech,https://restcountries.eu/data/cze.svg
Denmark,DNK,Copenhagen,Europe,Northern Europe,5717014,Danish,https://restcountries.eu/data/dnk.svg
Djibouti,DJI,Djibouti,Africa,Eastern Africa,900000,French,https://restcountries.eu/data/dji.svg
Dominica,DMA,Roseau,Americas,Caribbean,71293,English,https://restcountries.eu/data/dma.svg
Dominican Republic,DOM,Santo Domingo,Americas,Caribbean,10075045,Spanish,https://restcountries.eu/data/dom.svg
Ecuador,ECU,Quito,Americas,South America,16545799,Spanish,https://restcountries.eu/data/ecu.svg
Egypt,EGY,Cairo,Africa,Northern Africa,91290000,Arabic,https://restcountries.eu/data/egy.svg
El Salvador,SLV,San Salvador,Americas,Central America,6520675,Spanish,https://restcountries.eu/data/slv.svg
Equatorial Guinea,GNQ,Malabo,Africa,Middle Africa,1222442,Spanish,https://restcountries.eu/data/gnq.svg
Eritrea,ERI,Asmara,Africa,Eastern Africa,5352000,Tigrinya,https://restcountries.eu/data/eri.svg
Estonia,EST,Tallinn,Europe,Northern Europe,1315944,Estonian,https://restcountries.eu/data/est.svg
Ethiopia,ETH,Addis Ababa,Africa,Eastern Africa,92206005,Amharic,https://restcountries.eu/data/eth.svg
Falkland Islands (Malvinas),FLK,Stanley,Americas,South America,2563,English,https://restcountries.eu/data/flk.svg
Faroe Islands,FRO,Tórshavn,Europe,Northern Europe,49376,Faroese,https://restcountries.eu/data/fro.svg
Fiji,FJI,Suva,Oceania,Melanesia,867000,English,https://restcountries.eu/data/fji.svg
Finland,FIN,Helsinki,Europe,Northern Europe,5491817,Finnish,https://restcountries.eu/data/fin.svg
France,FRA,Paris,Europe,Western Europe,66710000,French,https://restcountries.eu/data/fra.svg
French Guiana,GUF,Cayenne,Americas,South America,254541,French,https://restcountries.eu/data/guf.svg
French Polynesia,PYF,Papeetē,Oceania,Polynesia,271800,French,https://restcountries.eu/data/pyf.svg
French Southern Territories,ATF,Port-aux-Français,Africa,Southern Africa,140,French,https://restcountries.eu/data/atf.svg
Gabon,GAB,Libreville,Africa,Middle Africa,1802278,French,https://restcountries.eu/data/gab.svg
Gambia,GMB,Banjul,Africa,Western Africa,1882450,English,https://restcountries.eu/data/gmb.svg
Georgia,GEO,Tbilisi,Asia,Western Asia,3720400,Georgian,https://restcountries.eu/data/geo.svg
Germany,DEU,Berlin,Europe,Western Europe,81770900,German,https://restcountries.eu/data/deu.svg
Ghana,GHA,Accra,Africa,Western Africa,27670174,English,https://restcountries.eu/data/gha.svg
Gibraltar,GIB,Gibraltar,Europe,Southern Europe,33140,English,https://restcountries.eu/data/gib.svg
Greece,GRC,Athens,Europe,Southern Europe,10858018,Greek (modern),https://restcountries.eu/data/grc.svg
Greenland,GRL,Nuuk,Americas,Northern America,55847,Kalaallisut,https://restcountries.eu/data/grl.svg
Grenada,GRD,St. George's,Americas,Caribbean,103328,English,https://restcountries.eu/data/grd.svg
Guadeloupe,GLP,Basse-Terre,Americas,Caribbean,400132,French,https://restcountries.eu/data/glp.svg
Guam,GUM,Hagåtña,Oceania,Micronesia,184200,English,https://restcountries.eu/data/gum.svg
Guatemala,GTM,Guatemala City,Americas,Central America,16176133,Spanish,https://restcountries.eu/data/gtm.svg
Guernsey,GGY,St. Peter Port,Europe,Northern Europe,62999,English,https://restcountries.eu/data/ggy.svg
Guinea,GIN,Conakry,Africa,Western Africa,12947000,French,https://restcountries.eu/data/gin.svg
Guinea-Bissau,GNB,Bissau,Africa,Western Africa,1547777,Portuguese,https://restcountries.eu/data/gnb.svg
Guyana,GUY,Georgetown,Americas,South America,746900,English,https://restcountries.eu/data/guy.svg
Haiti,HTI,Port-au-Prince,Americas,Caribbean,11078033,French,https://restcountries.eu/data/hti.svg
Heard Island and McDonald Islands,HMD,NA,,,0,English,https://restcountries.eu/data/hmd.svg
Holy See,VAT,Rome,Europe,Southern Europe,451,Latin,https://restcountries.eu/data/vat.svg
Honduras,HND,Tegucigalpa,Americas,Central America,8576532,Spanish,https://restcountries.eu/data/hnd.svg
Hong Kong,HKG,City of Victoria,Asia,Eastern Asia,7324300,English,https://restcountries.eu/data/hkg.svg
Hungary,HUN,Budapest,Europe,Eastern Europe,9823000,Hungarian,https://restcountries.eu/data/hun.svg
Iceland,ISL,Reykjavík,Europe,Northern Europe,334300,Icelandic,https://restcountries.eu/data/isl.svg
India,IND,New Delhi,Asia,Southern Asia,1295210000,Hindi,https://restcountries.eu/data/ind.svg
Indonesia,IDN,Jakarta,Asia,South-Eastern Asia,258705000,Indonesian,https://restcountries.eu/data/idn.svg
Côte d'Ivoire,CIV,Yamoussoukro,Africa,Western Africa,22671331,French,https://restcountries.eu/data/civ.svg
Iran (Islamic Republic of),IRN,Tehran,Asia,Southern Asia,79369900,Persian (Farsi),https://restcountries.eu/data/irn.svg
Iraq,IRQ,Baghdad,Asia,Western Asia,37883543,Arabic,https://restcountries.eu/data/irq.svg
Ireland,IRL,Dublin,Europe,Northern Europe,6378000,Irish,https://restcountries.eu/data/irl.svg
Isle of Man,IMN,Douglas,Europe,Northern Europe,84497,English,https://restcountries.eu/data/imn.svg
Israel,ISR,Jerusalem,Asia,Western Asia,8527400,Hebrew (modern),https://restcountries.eu/data/isr.svg
Italy,ITA,Rome,Europe,Southern Europe,60665551,Italian,https://restcountries.eu/data/ita.svg
Jamaica,JAM,Kingston,Americas,Caribbean,2723246,English,https://restcountries.eu/data/jam.svg
Japan,JPN,Tokyo,Asia,Eastern Asia,126960000,Japanese,https://restcountries.eu/data/jpn.svg
Jersey,JEY,Saint Helier,Europe,Northern Europe,100800,English,https://restcountries.eu/data/jey.svg
Jordan,JOR,Amman,Asia,Western Asia,9531712,Arabic,https://restcountries.eu/data/jor.svg
Kazakhstan,KAZ,Astana,Asia,Central Asia,17753200,Kazakh,https://restcountries.eu/data/kaz.svg
